detalle_id,pedido_id,producto_id,cantidad,subtotal
1,1,17,3,1200.0
2,1,10,8,3840.0
3,2,9,6,2160.0
4,2,18,3,1050.0
5,2,14,10,4400.0
6,3,13,1,470.0
7,3,2,1,280.0
8,3,18,8,2800.0
9,4,8,4,1560.0
10,4,14,2,880.0
11,4,9,1,360.0
12,4,7,1,410.0
13,4,17,3,1200.0
14,5,4,10,3100.0
15,5,9,17,6120.0
16,6,5,5,1900.0
17,6,2,12,3360.0
18,7,14,5,2200.0
19,7,8,4,1560.0
20,7,7,2,820.0
21,7,17,1,400.0
22,7,10,3,1440.0
23,8,2,3,840.0
24,8,16,1,490.0
25,8,8,9,3510.0
26,9,13,4,1880.0
27,9,7,6,2460.0
28,9,1,12,5400.0
29,10,19,4,2320.0
30,10,13,1,470.0
31,10,1,2,900.0
32,10,8,4,1560.0
33,11,13,3,1410.0
34,11,9,2,720.0
35,11,10,6,2880.0
36,12,3,3,1560.0
37,12,2,4,1120.0
38,12,5,6,2280.0
39,12,11,14,4480.0
40,13,14,3,1320.0
41,13,6,5,1200.0
42,13,7,1,410.0
43,13,12,1,420.0
44,13,4,5,1550.0
45,14,10,11,5280.0
46,15,8,20,7800.0
47,16,10,2,960.0
48,16,2,22,6160.0
49,17,9,4,1440.0
50,17,11,3,960.0
51,17,1,1,450.0
52,17,5,1,380.0
53,17,17,3,1200.0
54,18,12,7,2940.0
55,18,11,7,2240.0
56,18,2,2,560.0
57,18,17,8,3200.0
58,19,9,3,1080.0
59,19,3,1,520.0
60,19,17,2,800.0
61,19,13,2,940.0
62,19,14,4,1760.0
63,20,9,5,1800.0
64,20,15,7,3850.0
65,21,10,5,2400.0
66,21,19,2,1160.0
67,21,20,12,5520.0
68,22,10,17,8160.0
69,23,4,4,1240.0
70,23,16,2,980.0
71,23,15,1,550.0
72,23,1,6,2700.0
73,24,3,2,1040.0
74,24,10,1,480.0
75,24,2,1,280.0
76,24,20,1,460.0
77,24,6,3,720.0
78,25,1,5,2250.0
79,25,4,3,930.0
80,25,8,11,4290.0
81,26,12,5,2100.0
82,26,16,5,2450.0
83,26,9,5,1800.0
84,26,6,4,960.0
85,26,2,9,2520.0
86,27,20,2,920.0
87,27,3,1,520.0
88,27,17,1,400.0
89,27,7,1,410.0
90,27,11,3,960.0
91,28,2,3,840.0
92,28,9,1,360.0
93,28,4,12,3720.0
94,29,1,4,1800.0
95,29,15,3,1650.0
96,29,16,2,980.0
97,29,19,1,580.0
98,29,2,5,1400.0
99,30,13,20,9400.0
100,31,17,3,1200.0
101,31,5,5,1900.0
102,32,18,9,3150.0
103,32,4,5,1550.0
104,32,13,2,940.0
105,32,16,4,1960.0
106,33,12,7,2940.0
107,33,10,3,1440.0
108,33,9,4,1440.0
109,33,1,8,3600.0
110,34,20,5,2300.0
111,34,19,3,1740.0
112,34,6,6,1440.0
113,34,13,1,470.0
114,34,2,9,2520.0
115,35,19,14,8120.0
116,36,1,4,1800.0
117,36,12,5,2100.0
118,36,16,11,5390.0
119,37,13,16,7520.0
120,38,8,4,1560.0
121,38,5,2,760.0
122,38,18,5,1750.0
123,39,10,1,480.0
124,39,3,2,1040.0
125,39,8,1,390.0
126,39,13,1,470.0
127,39,16,2,980.0
128,40,16,10,4900.0
129,41,11,5,1600.0
130,41,20,13,5980.0
131,42,5,4,1520.0
132,42,7,2,820.0
133,42,1,7,3150.0
134,43,17,2,800.0
135,43,6,13,3120.0
136,44,3,1,520.0
137,44,14,2,880.0
138,44,20,1,460.0
139,44,17,1,400.0
140,44,2,5,1400.0
141,45,18,4,1400.0
142,45,20,16,7360.0
143,46,20,6,2760.0
144,47,18,4,1400.0
145,47,19,3,1740.0
146,47,17,7,2800.0
147,48,11,10,3200.0
148,48,1,1,450.0
149,48,18,2,700.0
150,48,12,7,2940.0
151,49,12,3,1260.0
152,49,17,6,2400.0
153,49,19,1,580.0
154,49,2,2,560.0
155,49,13,5,2350.0
156,50,7,3,1230.0
157,50,12,1,420.0
158,50,18,4,1400.0
159,51,9,24,8640.0
160,52,10,15,7200.0
161,53,2,2,560.0
162,53,11,3,960.0
163,53,18,4,1400.0
164,54,10,7,3360.0
165,54,15,3,1650.0
166,54,7,8,3280.0
167,55,10,2,960.0
168,55,2,7,1960.0
169,55,1,2,900.0
170,55,17,9,3600.0
171,56,10,1,480.0
172,56,20,2,920.0
173,56,15,2,1100.0
174,57,6,3,720.0
175,57,7,7,2870.0
176,58,2,1,280.0
177,58,11,1,320.0
178,58,7,1,410.0
179,58,17,1,400.0
180,59,15,1,550.0
181,59,14,1,440.0
182,59,11,1,320.0
183,60,7,2,820.0
184,60,5,1,380.0
185,60,2,1,280.0
186,60,9,1,360.0
187,60,15,1,550.0
188,61,2,6,1680.0
189,62,15,2,1100.0
190,62,6,3,720.0
191,62,9,1,360.0
192,62,3,1,520.0
193,62,11,1,320.0
194,63,13,2,940.0
195,63,15,4,2200.0
196,64,5,1,380.0
197,64,12,8,3360.0
198,65,20,2,920.0
199,65,4,7,2170.0
200,66,4,3,930.0
201,66,5,2,760.0
202,66,1,1,450.0
203,66,17,2,800.0
204,67,17,1,400.0
205,67,11,1,320.0
206,67,13,1,470.0
207,67,14,1,440.0
208,68,19,1,580.0
209,68,12,1,420.0
210,68,14,1,440.0
211,68,9,1,360.0
212,69,8,1,390.0
213,69,11,3,960.0
214,69,17,1,400.0
215,69,16,1,490.0
216,69,14,2,880.0
217,70,16,5,2450.0
218,71,6,2,480.0
219,71,18,1,350.0
220,71,13,1,470.0
221,71,19,1,580.0
222,72,7,1,410.0
223,72,12,1,420.0
224,72,8,1,390.0
225,72,1,1,450.0
226,73,2,6,1680.0
227,74,2,4,1120.0
228,74,11,5,1600.0
229,75,10,1,480.0
230,75,1,1,450.0
231,75,17,4,1600.0
232,76,11,10,3200.0
233,77,14,2,880.0
234,78,11,1,320.0
235,78,14,1,440.0
236,79,10,2,960.0
237,79,2,3,840.0
238,79,4,5,1550.0
239,80,3,1,520.0
240,80,1,2,900.0
241,80,10,1,480.0
242,80,15,3,1650.0
243,81,14,8,3520.0
244,82,9,2,720.0
245,82,15,1,550.0
246,82,18,5,1750.0
247,83,6,3,720.0
248,83,10,2,960.0
249,83,2,1,280.0
250,83,19,1,580.0
251,83,16,1,490.0
252,84,11,1,320.0
253,84,6,5,1200.0
254,85,14,1,440.0
255,85,10,1,480.0
256,85,20,1,460.0
257,85,16,1,490.0
258,85,15,1,550.0
259,86,17,1,400.0
260,86,7,2,820.0
261,86,19,1,580.0
262,86,11,1,320.0
263,86,15,2,1100.0
264,87,19,3,1740.0
265,88,19,1,580.0
266,88,2,5,1400.0
267,89,6,4,960.0
268,89,20,2,920.0
269,89,3,3,1560.0
270,90,2,5,1400.0
271,91,7,4,1640.0
272,91,19,3,1740.0
273,91,8,4,1560.0
274,91,12,7,2940.0
275,92,9,7,2520.0
276,92,12,2,840.0
277,92,4,5,1550.0
278,92,7,2,820.0
279,92,2,8,2240.0
280,93,9,5,1800.0
281,93,20,5,2300.0
282,93,7,13,5330.0
283,94,3,2,1040.0
284,94,16,1,490.0
285,94,17,1,400.0
286,94,10,3,1440.0
287,95,14,6,2640.0
288,95,18,20,7000.0
289,96,8,7,2730.0
290,96,6,7,1680.0
291,96,9,6,2160.0
292,97,16,3,1470.0
293,97,14,11,4840.0
294,98,6,4,960.0
295,98,9,1,360.0
296,98,3,1,520.0
297,98,17,1,400.0
298,99,6,1,240.0
299,99,18,1,350.0
300,99,17,1,400.0
301,99,7,1,410.0
302,100,20,1,460.0
303,100,1,1,450.0
304,100,2,1,280.0
305,100,12,1,420.0
306,100,16,1,490.0
307,101,17,3,1200.0
308,101,2,8,2240.0
309,102,20,1,460.0
310,102,15,2,1100.0
311,102,8,5,1950.0
312,103,4,2,620.0
313,103,20,3,1380.0
314,104,5,1,380.0
315,104,6,1,240.0
316,104,14,1,440.0
317,104,10,1,480.0
318,104,11,1,320.0
319,105,2,2,560.0
320,105,13,1,470.0
321,105,9,1,360.0
322,105,4,1,310.0
323,106,9,1,360.0
324,106,6,6,1440.0
325,107,7,1,410.0
326,107,4,1,310.0
327,107,15,1,550.0
328,108,5,2,760.0
329,108,18,1,350.0
330,108,10,1,480.0
331,108,11,1,320.0
332,108,17,2,800.0
333,109,8,2,780.0
334,110,14,2,880.0
335,110,1,5,2250.0
336,111,5,3,1140.0
337,111,20,1,460.0
338,111,8,4,1560.0
339,112,6,13,3120.0
340,112,11,3,960.0
341,112,15,8,4400.0
342,113,14,12,5280.0
343,114,12,7,2940.0
344,114,19,11,6380.0
345,115,5,3,1140.0
346,115,12,5,2100.0
347,116,16,1,490.0
348,116,12,4,1680.0
349,116,18,7,2450.0
350,117,15,5,2750.0
351,117,10,4,1920.0
352,117,9,8,2880.0
353,118,10,8,3840.0
354,118,9,17,6120.0
355,119,2,34,9520.0
356,120,11,14,4480.0
357,121,19,3,1740.0
358,121,11,6,1920.0
359,121,8,3,1170.0
360,121,9,3,1080.0
361,121,4,12,3720.0
362,122,18,17,5950.0
363,122,6,18,4320.0
364,122,4,29,8990.0
365,123,6,19,4560.0
366,123,4,11,3410.0
367,123,3,3,1560.0
368,123,9,2,720.0
369,123,2,8,2240.0
370,124,5,13,4940.0
371,124,7,8,3280.0
372,124,2,30,8400.0
373,125,14,22,9680.0
374,125,18,6,2100.0
375,125,1,23,10350.0
376,126,1,21,9450.0
377,127,3,7,3640.0
378,127,5,5,1900.0
379,127,10,9,4320.0
380,128,15,38,20900.0
381,129,5,3,1140.0
382,129,20,5,2300.0
383,130,19,4,2320.0
384,131,11,3,960.0
385,131,10,2,960.0
386,131,7,1,410.0
387,131,4,4,1240.0
388,132,19,1,580.0
389,132,12,1,420.0
390,132,10,1,480.0
391,132,15,1,550.0
392,132,17,1,400.0
393,133,13,1,470.0
394,133,17,1,400.0
395,133,20,1,460.0
396,133,15,2,1100.0
397,134,9,3,1080.0
398,134,8,5,1950.0
399,135,4,7,2170.0
400,136,9,10,3600.0
401,137,16,1,490.0
402,137,9,1,360.0
403,137,14,1,440.0
404,137,7,1,410.0
405,138,6,1,240.0
406,138,18,1,350.0
407,138,12,1,420.0
408,139,16,1,490.0
409,139,8,1,390.0
410,139,5,1,380.0
411,139,18,1,350.0
412,139,6,1,240.0
413,140,3,2,1040.0
414,140,2,1,280.0
415,140,6,1,240.0
416,140,9,1,360.0
417,140,5,2,760.0
418,141,4,2,620.0
419,141,18,5,1750.0
420,142,6,5,1200.0
421,143,15,3,1650.0
422,144,1,1,450.0
423,144,18,1,350.0
424,144,12,1,420.0
425,144,20,1,460.0
426,144,2,1,280.0
427,145,8,1,390.0
428,145,19,1,580.0
429,145,20,2,920.0
430,146,18,1,350.0
431,146,14,1,440.0
432,146,7,1,410.0
433,146,9,1,360.0
434,147,12,5,2100.0
435,147,6,9,2160.0
436,147,9,1,360.0
437,147,4,3,930.0
438,147,3,4,2080.0
439,148,5,24,9120.0
440,149,4,11,3410.0
441,149,3,10,5200.0
442,150,18,28,9800.0
443,151,18,3,1050.0
444,151,8,3,1170.0
445,151,5,10,3800.0
446,152,9,17,6120.0
447,153,17,4,1600.0
448,153,7,1,410.0
449,153,15,1,550.0
450,153,6,2,480.0
451,153,1,2,900.0
452,154,11,8,2560.0
