pedido_id,cliente_id,fecha_pedido,monto_total,estado
1,1,2024-02-05,5277.8,Completado
2,1,2026-03-07,8046.58,Completado
3,1,2024-11-21,3655.72,Completado
4,1,2025-11-14,4707.93,Pendiente
5,1,2024-07-19,9244.33,Completado
6,1,2023-08-17,5450.55,Completado
7,1,2025-05-31,6447.62,Completado
8,1,2025-03-29,4965.41,Completado
9,2,2023-08-09,9961.85,Completado
10,2,2024-12-22,5591.11,Completado
11,2,2024-04-28,5315.25,Completado
12,2,2025-03-21,9745.34,Completado
13,2,2024-01-30,5139.88,Completado
14,2,2023-11-28,5608.81,Completado
15,2,2025-02-08,7872.21,Completado
16,2,2025-04-09,7305.05,Cancelado
17,2,2026-03-11,4779.15,Completado
18,2,2025-09-15,8940.69,Completado
19,2,2024-03-25,5516.44,Completado
20,2,2025-08-20,5938.47,Completado
21,2,2024-09-03,9392.68,Completado
22,2,2023-08-28,8588.07,Completado
23,2,2024-12-16,5777.49,Completado
24,2,2024-11-05,3193.32,Completado
25,2,2025-07-19,7704.18,Completado
26,2,2025-02-17,9872.89,Completado
27,2,2025-02-12,3213.5,Completado
28,2,2025-11-07,5122.86,Completado
29,2,2025-03-27,6655.7,Completado
30,2,2026-04-22,9756.76,Completado
31,2,2025-09-04,3361.77,Completado
32,2,2023-09-08,7896.59,Completado
33,3,2024-05-06,9786.76,Completado
34,3,2025-05-31,8566.3,Completado
35,3,2025-04-06,8208.3,Completado
36,3,2024-11-27,9738.54,Completado
37,3,2024-09-07,7819.5,Completado
38,3,2025-05-06,4095.06,Completado
39,3,2025-05-10,3657.11,Completado
40,3,2024-04-04,4959.54,Pendiente
41,3,2026-05-06,7599.78,Completado
42,3,2025-12-19,5937.2,Completado
43,3,2025-05-28,4110.53,Completado
44,3,2024-05-22,3812.51,Completado
45,3,2023-11-13,8988.22,Completado
46,3,2024-03-02,3120.13,Completado
47,3,2024-07-17,6314.3,Completado
48,3,2025-08-14,7548.42,Completado
49,3,2025-09-07,7445.66,Completado
50,3,2024-03-21,3107.13,Completado
51,3,2025-04-10,8995.43,Completado
52,3,2025-01-08,7310.96,Completado
53,3,2024-04-25,3185.58,Completado
54,3,2024-11-28,8606.65,Completado
55,3,2025-06-16,7503.02,Completado
56,4,2025-08-19,2803.01,Completado
57,4,2024-05-31,3697.12,Completado
58,4,2025-01-15,1486.69,Completado
59,4,2024-08-24,1102.22,Completado
60,4,2026-04-12,2898.31,Completado
61,4,2025-08-08,1890.0,Completado
62,4,2024-06-28,3017.25,Completado
63,4,2024-02-28,3607.91,Completado
64,4,2024-09-17,3896.26,Completado
65,4,2026-05-02,3201.97,Completado
66,4,2025-11-03,3141.27,Completado
67,4,2024-03-20,1890.57,Completado
68,4,2024-01-21,1563.51,Completado
69,4,2024-09-19,3214.54,Completado
70,4,2024-09-13,2509.85,Completado
71,4,2025-12-13,1824.16,Completado
72,4,2024-06-09,971.15,Pendiente
73,4,2024-02-29,1935.7,Pendiente
74,5,2025-06-13,2821.88,Completado
75,5,2024-05-02,2727.81,Completado
76,5,2025-05-07,3207.6,Completado
77,5,2025-08-15,1163.09,Completado
78,5,2024-07-28,984.19,Completado
79,6,2024-08-10,3640.65,Completado
80,6,2025-12-18,3899.69,Completado
81,6,2025-07-05,3573.98,Completado
82,6,2024-08-21,3043.1,Completado
83,6,2026-05-04,3059.98,Completado
84,6,2024-08-12,1546.33,Completado
85,6,2025-02-28,1986.05,Completado
86,6,2025-07-24,3704.62,Completado
87,6,2026-05-13,2004.03,Completado
88,6,2025-05-19,2009.56,Completado
89,6,2026-02-12,3700.33,Completado
90,6,2025-05-25,1611.78,Completado
91,7,2024-04-27,8186.82,Completado
92,7,2025-02-24,8209.48,Completado
93,7,2025-02-11,9735.21,Completado
94,7,2025-03-04,3580.24,Completado
95,7,2024-06-25,9742.56,Completado
96,7,2026-01-01,6892.04,Completado
97,7,2024-05-19,6693.91,Cancelado
98,8,2026-01-16,2572.33,Pendiente
99,8,2025-04-17,1331.89,Completado
100,8,2024-08-01,2254.53,Completado
101,8,2024-11-25,3683.71,Completado
102,8,2024-03-23,3867.85,Completado
103,8,2025-03-04,2258.1,Completado
104,8,2024-03-19,1342.98,Completado
105,8,2025-12-19,1930.73,Completado
106,8,2026-03-13,1953.1,Completado
107,8,2025-07-26,903.41,Completado
108,8,2026-03-05,2728.9,Completado
109,8,2025-09-20,1043.84,Completado
110,9,2025-06-25,3579.24,Completado
111,9,2024-12-08,3316.53,Completado
112,9,2025-04-10,8673.87,Cancelado
113,9,2024-09-25,5637.17,Completado
114,9,2024-11-04,9789.4,Completado
115,9,2025-07-06,3444.58,Completado
116,9,2025-08-25,4913.85,Completado
117,9,2025-09-01,7842.0,Completado
118,9,2026-01-06,9976.46,Completado
119,9,2025-10-18,9613.36,Completado
120,9,2024-08-24,4687.59,Completado
121,9,2024-04-02,9678.36,Completado
122,10,2025-11-30,19418.91,Completado
123,10,2025-08-21,12567.43,Completado
124,10,2025-05-15,16845.23,Completado
125,10,2025-07-10,22487.09,Completado
126,10,2025-10-01,9502.94,Completado
127,10,2025-10-13,10278.26,Completado
128,10,2025-04-02,21339.36,Completado
129,11,2025-12-06,3690.08,Completado
130,11,2025-07-30,2687.74,Completado
131,11,2025-12-06,3693.31,Completado
132,11,2025-03-12,2242.91,Completado
133,11,2026-03-23,2790.68,Completado
134,11,2025-02-07,3348.71,Completado
135,11,2025-11-02,2374.77,Completado
136,11,2024-12-05,3936.1,Completado
137,11,2025-04-20,1469.22,Completado
138,11,2025-01-16,1212.42,Completado
139,11,2024-12-31,2080.96,Completado
140,11,2025-09-22,3028.8,Completado
141,11,2025-04-10,2448.76,Pendiente
142,11,2024-11-27,1415.32,Completado
143,11,2024-10-02,1904.26,Completado
144,11,2026-03-15,1083.85,Completado
145,11,2025-05-18,1939.17,Completado
146,11,2024-12-14,1856.32,Completado
147,12,2025-02-18,7814.49,Completado
148,12,2025-02-04,9446.11,Completado
149,12,2024-11-15,9078.11,Completado
150,12,2025-06-30,9903.8,Completado
151,12,2024-12-15,6391.66,Completado
152,12,2025-01-06,6237.74,Completado
153,12,2026-03-30,4034.17,Completado
154,12,2024-10-23,9266.45,Completado
155,12,2026-03-12,3750.2,Completado
156,12,2024-11-04,3734.08,Completado
157,12,2024-11-17,3140.5,Completado
158,12,2025-06-08,3624.43,Completado
159,12,2026-04-10,9233.69,Completado
160,12,2025-11-18,8524.2,Completado
161,12,2025-02-08,7089.4,Completado
162,12,2025-10-24,6951.21,Completado
163,12,2026-03-22,9297.53,Completado
164,12,2026-01-06,5492.68,Cancelado
165,12,2025-11-01,4660.59,Completado
166,12,2026-03-07,6414.67,Completado
167,12,2026-01-09,4995.67,Completado
168,12,2025-03-06,3561.64,Completado
169,13,2025-06-24,9876.65,Completado
170,13,2025-09-25,7031.99,Completado
171,13,2025-03-05,4805.32,Completado
172,13,2026-01-22,8029.2,Completado
173,13,2024-12-03,4959.85,Completado
174,13,2025-09-29,9775.96,Completado
175,13,2025-06-20,8153.73,Completado
176,13,2024-11-08,7274.34,Completado
177,13,2025-03-26,9524.1,Completado
178,13,2025-07-24,3362.76,Completado
179,13,2024-11-17,6840.22,Completado
180,13,2024-11-20,7792.0,Completado
181,13,2025-09-22,7770.52,Completado
182,13,2026-05-11,5882.89,Completado
183,13,2025-09-21,8221.82,Completado
184,14,2025-03-26,1456.01,Completado
185,14,2026-04-06,3171.59,Completado
186,14,2025-10-24,1247.27,Completado
187,14,2025-08-06,3358.52,Completado
188,14,2025-04-23,3406.64,Completado
189,14,2025-12-24,3705.17,Completado
190,14,2024-12-21,2055.82,Completado
191,14,2025-08-31,3084.1,Completado
192,14,2026-01-05,2527.3,Completado
193,14,2025-04-03,3678.64,Completado
194,14,2025-02-21,2797.56,Completado
195,14,2025-12-05,3137.76,Completado
196,14,2026-03-24,3340.88,Completado
197,14,2026-03-02,3660.46,Completado
198,14,2026-05-13,3207.69,Completado
199,14,2025-12-25,3180.63,Completado
200,14,2026-04-15,2380.74,Completado
201,14,2025-03-07,3428.02,Completado
202,15,2025-06-14,2732.67,Completado
203,15,2025-07-29,2356.34,Completado
204,15,2025-03-20,839.05,Completado
205,15,2025-08-29,3091.77,Completado
206,15,2024-11-21,3869.04,Completado
207,16,2024-12-11,2278.42,Completado
208,16,2025-12-19,3717.93,Completado
209,16,2025-06-16,2756.65,Completado
210,16,2026-02-21,1127.08,Completado
211,16,2025-03-31,3752.0,Completado
212,16,2025-03-04,3267.99,Completado
213,16,2025-01-08,3156.62,Completado
214,17,2026-01-25,1192.99,Completado
215,17,2025-11-25,3484.47,Completado
216,17,2024-12-15,3583.67,Completado
217,17,2026-02-18,975.24,Completado
218,17,2026-02-23,3320.93,Completado
219,17,2025-08-15,2519.67,Completado
220,17,2026-01-04,2290.24,Completado
221,17,2025-11-26,2247.1,Completado
222,17,2025-06-11,1594.32,Completado
223,17,2025-06-12,2140.56,Completado
224,17,2025-06-09,3297.59,Completado
225,17,2025-05-19,1480.58,Completado
226,17,2025-03-08,2268.76,Completado
227,17,2025-11-21,1073.12,Cancelado
